Calendar_Year,Aus_Population,Aus_Short term overseas visitor arrivals,Aus_Short term Australian resident departures,QLD_Overseas_Arrivals_Males_Total_movement,QLD_Overseas_Arrivals_Females_Total_movement,QLD_Overseas_Arrivals_Persons_Total_movement,QLD_Overseas_Departures_Males_Total_movement,QLD_Overseas_Departures_Females_Total_movement,QLD_Overseas_Departures_Persons_Total_movement,QLD_Males_Employed_000,QLD_Males_Looking for full-time work_000,QLD_Males_Looking for part-time work_000,QLD_Males_Total_000,QLD_Males_Labour force_000,QLD_Males_Not in labour force_000,QLD_Males_Civilian pop'n aged 15 years and over_000,QLD_Males_Unemployment rate_%,QLD_Males_Partic-ipation rate_%,QLD_Females_Employed_000,QLD_Females_Looking for full-time work_000,QLD_Females_Looking for part-time work_000,QLD_Females_Total_000,QLD_Females_Labour force_000,QLD_Females_Not in labour force_000,QLD_Females_Civilian pop'n aged 15 years and over_000,QLD_Females_Unemployment rate_%,QLD_Females_Partic-ipation rate_%,QLD_TotalPersons_Employed_000,QLD_TotalPersons_Looking for full-time work_000,QLD_TotalPersons_Looking for part-time work_000,QLD_TotalPersons_Total_000,QLD_TotalPersons_Labour force_000,QLD_TotalPersons_Not in labour force_000,QLD_TotalPersons_Civilian pop'n aged 15 years and over_000,QLD_TotalPersons_Unemployment rate_%,QLD_TotalPersons_Partic-ipation rate_%,QLD_Net interstate and overseas migration,QLD_Net interstate and overseas migration rate,QLD_InterstateMigration_Arrivals_To,QLD_InterstateMigration_Departures_from,QLD_Net interstate migration
1788,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,2873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,3579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,3466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,4588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,5088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,5945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,7014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,7238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,7598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,7707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,7910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,8794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,10263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,11560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,11566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,11875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,12630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,13957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,14086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,15063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,17553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,21192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,25859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,31472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,33543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,35492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
